技能组合编号,技能组合名称,组合层级,技能一名称,技能二名称,历史共现相似度,技能簇一,技能簇二,标准技能名称_技能一,技能编号_技能一,技能展示名称_技能一,技能一级类型_技能一,技能簇编号_技能一,技能簇名称_技能一,标准技能名称_技能二,技能编号_技能二,技能展示名称_技能二,技能一级类型_技能二,技能簇编号_技能二,技能簇名称_技能二,组合键,pair_jobs_x,pair_jobs_early,pair_jobs_late,pair_jobs_recent,NPMI_2016_2025,NPMI_2016_2020,NPMI_2021_2025,NPMI_2022_2025,跨期NPMI均为正,NPMI排名,工资互补效应_all_%,工资互补效应下限95_all_%,工资互补效应上限95_all_%,工资互补p值_all,工资互补BH调整p值_all,工资支持职业数_all,工资互补效应_recent_%,工资互补效应下限95_recent_%,工资互补效应上限95_recent_%,工资互补p值_recent,工资互补BH调整p值_recent,工资支持职业数_recent,pair_jobs_y,2025组合需求率,组合需求率_2028,组合需求率下限90_2028,组合需求率上限90_2028,2025_2028每万岗位需求变化,近期工资方向一致,工资证据权重,NPMI得分,工资得分,需求得分,互补证据等级,skill_type,cluster_id,cluster_name,original_type,skill_jobs,pair_jobs,recent_pair_jobs,active_months,AI共现提升度,AI共现强度_NPMI,历史AI协同占比,ai_given_skill_coef,ai_given_skill_se,ai_given_skill_p,ai_given_skill_low,ai_given_skill_high,ai_given_skill_occupations,ai_given_skill_weight,skill_given_ai_coef,skill_given_ai_se,skill_given_ai_p,skill_given_ai_low,skill_given_ai_high,skill_given_ai_occupations,skill_given_ai_weight,strict_complement_coef,strict_complement_se,strict_complement_p,strict_complement_low,strict_complement_high,strict_complement_occupations,strict_complement_weight,ai_given_skill_pct,ai_given_skill_low_pct,ai_given_skill_high_pct,ai_given_skill_bh_p,skill_given_ai_pct,skill_given_ai_low_pct,skill_given_ai_high_pct,skill_given_ai_bh_p,strict_complement_pct,strict_complement_low_pct,strict_complement_high_pct,strict_complement_bh_p,recent_ai_given_skill_coef,recent_ai_given_skill_se,recent_ai_given_skill_p,recent_ai_given_skill_low,recent_ai_given_skill_high,recent_ai_given_skill_occupations,recent_ai_given_skill_weight,recent_skill_given_ai_coef,recent_skill_given_ai_se,recent_skill_given_ai_p,recent_skill_given_ai_low,recent_skill_given_ai_high,recent_skill_given_ai_occupations,recent_skill_given_ai_weight,recent_strict_complement_coef,recent_strict_complement_se,recent_strict_complement_p,recent_strict_complement_low,recent_strict_complement_high,recent_strict_complement_occupations,recent_strict_complement_weight,recent_ai_given_skill_pct,recent_ai_given_skill_low_pct,recent_ai_given_skill_high_pct,recent_ai_given_skill_bh_p,recent_skill_given_ai_pct,recent_skill_given_ai_low_pct,recent_skill_given_ai_high_pct,recent_skill_given_ai_bh_p,recent_strict_complement_pct,recent_strict_complement_low_pct,recent_strict_complement_high_pct,recent_strict_complement_bh_p,2025_AI技能组合需求_每万岗位,2025_技能岗位中AI协同占比,2025_AI组合月薪中位数,2025_非AI组合月薪中位数,2025_AI组合城市覆盖率,2028_AI技能组合需求_每万岗位,2025_2028组合需求变化_每万岗位,2028_技能岗位中AI协同占比,AI协同占比变化_百分点,2028_AI组合月薪中位数,2028_非AI组合月薪中位数,2028_AI组合工资优势_%,2025_2028_AI组合工资变化_%,2028_AI组合城市覆盖率,城市覆盖率变化_百分点,AI协同优势类型,证据等级,AI组合未来市场前景,技能显示名称,技能一编号_技能一,cluster_a,cluster_a_nature,cluster_b,cluster_b_nature,cluster_a_1,cluster_b_1,2022_2025组合岗位数,2025组合岗位数,当前月薪中位数,平均最低经验年限,本科及以上岗位占比,覆盖职业小类数,覆盖城市数,有效职业广度,主要职业小类_TOP5,主要城市_TOP5,pair_n,n_a,n_b,标准化共现强度_NPMI,组合类型,工资互补对数系数,工资互补对数系数标准误,互补效应p值,工资互补对数系数下限95,工资互补对数系数上限95,工资共同支持职业数,工资互补估计权重,工资互补效应_%,互补效应下限95_%,互补效应上限95_%,互补效应BH调整p值,total_jobs_2025,2028组合需求率预测,2028组合需求率预测下限90,2028组合需求率预测上限90,2025_2028需求增长_%,status,需求预测模型,需求预测回测WMAE,total_hits
ZH00001,3ds Max+Maya,标准技能组合,3ds Max,Maya,0.955625629768756,5.0,5.0,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,Maya,JN0340,Maya（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,3ds Max||Maya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00002,3ds Max+动画制作,标准技能组合,3ds Max,动画制作,0.9464159833481415,5.0,5.0,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,动画制作,JN0387,动画制作,方法、标准与流程,5.0,视觉设计与数字内容制作,3ds Max||动画制作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00003,3ds Max+Blender,标准技能组合,3ds Max,Blender,0.9018649995676447,5.0,5.0,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,Blender,JN0617,Blender（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,3ds Max||Blender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00004,3ds Max+C4D,标准技能组合,3ds Max,C4D,0.8934916738830986,5.0,5.0,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,C4D,JN0389,C4D（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,3ds Max||C4D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00005,3ds Max+SketchUp,标准技能组合,3ds Max,SketchUp,0.8824921649706896,5.0,5.0,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,SketchUp,JN0427,SketchUp（工程设计仿真与检测软件）,工具软件与技术平台,5.0,视觉设计与数字内容制作,3ds Max||SketchUp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00006,5Why+8D,标准技能组合,5Why,8D,0.9824989076477982,6.0,6.0,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,5Why||8D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00007,5Why+VDA 6.3,标准技能组合,5Why,VDA 6.3,0.9821881341680264,6.0,6.0,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,VDA 6.3,JN0415,VDA 6.3（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,5Why||VDA 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00008,5Why+QE,标准技能组合,5Why,QE,0.9767953719898186,6.0,6.0,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,QE,JN0008,质量工程（QE）,职业职能与业务活动,6.0,质量管理与持续改进,5Why||QE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00009,5Why+QCC,标准技能组合,5Why,QCC,0.9758206799141491,6.0,6.0,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,QCC,JN0507,QCC（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,5Why||QCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00010,5Why+PDCA,标准技能组合,5Why,PDCA,0.9697042999845511,6.0,6.0,5Why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,PDCA,JN0418,计划、执行、检查、处理循环（PDCA）,方法、标准与流程,6.0,质量管理与持续改进,5Why||PDCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00011,8D+MSA,标准技能组合,8D,MSA,0.9901167303710013,6.0,6.0,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,MSA,JN0257,测量系统分析（MSA）,方法、标准与流程,6.0,质量管理与持续改进,8D||MSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
