城市技能关系主键,canonical_skill,城市,预测年份,城市内技能需求占比预测,预测下限90%,预测上限90%,预测模型,趋势模型平均权重,标准技能名称,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,每万岗位需求数预测,城市排名
CS0000001,3ds Max,上海,2026,0.0011022568282057,0.0001706769873789,0.0047376181835452,trend_seasonal+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,11.022568282057,7
CS0000002,3ds Max,上海,2027,0.0007877192009361,0.0001388837017921,0.0044230805562756,trend_seasonal+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,7.877192009361,8
CS0000003,3ds Max,上海,2028,0.0005021755533394,5.643424654076275e-05,0.0041375369086789,trend_seasonal+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,5.021755533394,11
CS0000004,3ds Max,佛山,2026,0.0012342971857951,0.0001545089841348,0.0081449645372346,seasonal_3y+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,12.342971857951001,5
CS0000005,3ds Max,佛山,2027,0.0011737101946818,8.403568555749015e-05,0.0080843775461214,seasonal_3y+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,11.737101946818001,5
CS0000006,3ds Max,佛山,2028,0.0011131232035686,1.3562386980108544e-05,0.0080237905550082,seasonal_3y+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,11.131232035686,5
CS0000007,3ds Max,北京,2026,0.001026992050028,0.0,0.0091263323196472,seasonal_naive+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,10.26992050028,8
CS0000008,3ds Max,北京,2027,0.001026992050028,0.0,0.0091263323196472,seasonal_naive+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,10.26992050028,6
CS0000009,3ds Max,北京,2028,0.001026992050028,0.0,0.0091263323196472,seasonal_naive+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,10.26992050028,6
CS0000010,3ds Max,南京,2026,0.0006241750496263,5.518279683958637e-05,0.0058122424945031,seasonal_3y+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,6.241750496262999,12
CS0000011,3ds Max,南京,2027,0.0006300651964776,3.347688340619639e-05,0.0058181326413543,seasonal_3y+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,6.300651964776,12
CS0000012,3ds Max,南京,2028,0.0006359553433288,1.1770969972806406e-05,0.0058240227882056,seasonal_3y+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,6.359553433287999,9
CS0000013,3ds Max,厦门,2026,0.0021862261055998,0.0001277228903011,0.0099205555091249,seasonal_3y+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,21.862261055998,3
CS0000014,3ds Max,厦门,2027,0.0022127968681101,7.912833985842988e-05,0.0099471262716353,seasonal_3y+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,22.127968681101,3
CS0000015,3ds Max,厦门,2028,0.0022393676306204,3.053378941569794e-05,0.0099736970341456,seasonal_3y+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,22.393676306204,2
CS0000016,3ds Max,合肥,2026,0.0003119640075859,2.255639097744361e-05,0.005015632869298,seasonal_3y+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,3.119640075859,13
CS0000017,3ds Max,合肥,2027,0.0003037264039991,1.1278195488721823e-05,0.0050073952657112,seasonal_3y+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,3.037264039991,13
CS0000018,3ds Max,合肥,2028,0.0002954888004122,0.0,0.0049991576621244,seasonal_3y+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,2.954888004122,13
CS0000019,3ds Max,广州,2026,0.0030108486853293,0.000410053049611,0.0111101489241835,trend_seasonal+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,30.108486853292998,1
CS0000020,3ds Max,广州,2027,0.002361823446435,0.0003237245702974,0.0104611236852891,trend_seasonal+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,23.61823446435,2
CS0000021,3ds Max,广州,2028,0.0017198276027125,0.0001327058048164,0.0098191278415667,trend_seasonal+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,17.198276027125,4
CS0000022,3ds Max,成都,2026,0.0010069937075716,0.0001155618978403,0.0045882510170969,trend_seasonal+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,10.069937075716,9
CS0000023,3ds Max,成都,2027,0.0007394967957653,0.0001029336469049,0.0043207541052906,trend_seasonal+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,7.394967957653,9
CS0000024,3ds Max,成都,2028,0.0004965101421714,4.587394624949999e-05,0.0040777674516968,trend_seasonal+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,4.965101421714,12
CS0000025,3ds Max,杭州,2026,0.002277805441477,9.690169258726172e-05,0.0067443664048889,seasonal_3y+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,22.778054414769997,2
CS0000026,3ds Max,杭州,2027,0.0023805030592816,0.0001179901140555,0.0068470640226936,seasonal_3y+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,23.805030592816,1
