组合职业关系主键,技能组合编号,职业小类代码,职业小类名称,组合职业关联岗位数,组合岗位总数,职业岗位总数,掌握组合后进入该职业概率,职业内组合需求占比,职业组合相对集中度,职业排名
ZG00000001,ZH04730,8-00-00,不便分类的其他从业人员,524,50113,322298,0.010456368606948296,0.0016258245474684919,0.27721468377643355,19
ZG00000002,ZH00894,2-02-10,信息和通信工程技术人员,55964,119617,728309,0.4678599195766488,0.07684101116421739,5.4889986220858225,1
ZG00000003,ZH04731,2-06-07,商务专业人员,15722,182378,489726,0.08620557304060797,0.032103666131673626,1.504094551517648,4
ZG00000004,ZH04866,4-13-04,教育服务人员,1825,236333,65820,0.007722154756212632,0.02772713460954117,1.002475066266311,24
ZG00000005,ZH00513,2-06-03,会计专业人员,25231,222993,305561,0.11314704945895163,0.0825727105226125,3.164013059049241,2
ZG00000006,ZH02187,2-02-38,数字技术工程技术人员,3142,3456,145051,0.9091435185185185,0.021661346698747336,53.55557374839041,1
ZG00000007,ZH00144,2-02-18,建筑工程技术人员,16268,116074,180761,0.14015197201785068,0.08999728923827595,6.625023670764464,2
ZG00000008,ZH04083,2-02-10,信息和通信工程技术人员,2757,3738,728309,0.7375601926163724,0.003785481162528542,8.65316029772319,1
ZG00000009,ZH02131,2-02-30,管理（工业）工程技术人员,35500,490885,518059,0.07231836377155546,0.06852501356023155,1.19278542931049,4
ZG00000010,ZH02990,2-02-11,电气工程技术人员,10542,16203,79149,0.6506202555082392,0.13319182807110638,70.2384799568135,1
ZG00000011,ZH00048,2-02-07,机械工程技术人员,1022,2024,267649,0.5049407114624506,0.003818433844325964,16.120099539841846,1
ZG00000012,ZH00662,2-02-38,数字技术工程技术人员,3825,5841,145051,0.6548536209553159,0.026370035366870964,38.57593512696704,1
ZG00000013,ZH03750,2-02-10,信息和通信工程技术人员,922,2758,728309,0.3343002175489485,0.0012659461849297482,3.9220573438938233,2
ZG00000014,ZH01005,4-04-05,软件和信息技术服务人员,445,896,749774,0.4966517857142857,0.0005935121783364054,5.659975896546349,1
ZG00000015,ZH01868,4-02-06,仓储物流服务人员,11664,174782,224118,0.06673456076712705,0.05204401252911413,2.5442924243490133,3
ZG00000016,ZH04073,2-02-38,数字技术工程技术人员,9634,10653,145051,0.9043461935604994,0.06641801849004833,53.2729742628847,1
ZG00000017,ZH01610,4-01-02,销售人员,13992,193103,1199332,0.07245873963635988,0.011666494348520677,0.5162312734977402,4
ZG00000018,ZH00126,2-02-10,信息和通信工程技术人员,203,1250,728309,0.1624,0.0002787278476580682,1.9052997252539785,2
ZG00000019,ZH01960,4-04-05,软件和信息技术服务人员,21324,82544,749774,0.2583349486334561,0.02844057009178766,2.9440538110579935,2
ZG00000020,ZH01663,2-02-38,数字技术工程技术人员,8478,10243,145051,0.8276872010153276,0.058448407801393994,48.75716763268362,1
ZG00000021,ZH03644,4-04-05,软件和信息技术服务人员,13633,68615,749774,0.19868833345478393,0.01818281242080947,2.2643051140180237,2
ZG00000022,ZH01958,4-04-05,软件和信息技术服务人员,17370,80371,749774,0.2161227308357492,0.02316698098360306,2.4629921454260657,2
ZG00000023,ZH01908,2-06-03,会计专业人员,15108,360404,305561,0.041919623533590085,0.04944348264340017,1.1722288555021048,5
ZG00000024,ZH02329,2-02-38,数字技术工程技术人员,16546,18208,145051,0.9087214411247804,0.11407022357653515,53.530710130570526,1
ZG00000025,ZH02131,2-02-18,建筑工程技术人员,7888,490885,180761,0.01606893671633886,0.043637731590331984,0.7595832193941734,18
ZG00000026,ZH04868,4-01-02,销售人员,9339,58535,1199332,0.15954557102588196,0.007786834671300358,1.1366801813688416,1
ZG00000027,ZH01613,2-02-10,信息和通信工程技术人员,1309,47037,728309,0.027829155770988795,0.001797314052139957,0.3264955840179503,11
ZG00000028,ZH05004,4-01-02,销售人员,51398,251463,1199332,0.20439587533752482,0.042855522907751985,1.4562155449116865,1
ZG00000029,ZH00825,2-02-10,信息和通信工程技术人员,19210,27057,728309,0.709982629264146,0.026376167258677294,8.329616431478295,1
ZG00000030,ZH00784,2-02-10,信息和通信工程技术人员,4370,5675,728309,0.7700440528634361,0.00600020046436334,9.03426553173747,1
ZG00000031,ZH02352,2-06-10,保险专业人员,1439,629120,15287,0.002287321973550356,0.09413226924838097,1.27849193634629,40
ZG00000032,ZH01956,2-02-38,数字技术工程技术人员,1776,2112,145051,0.8409090909090909,0.012243969362500086,49.53603904833472,1
ZG00000033,ZH04866,4-14-01,医疗辅助服务人员,1605,236333,48020,0.006791264867792479,0.033423573511037065,1.208429920443491,26
ZG00000034,ZH02475,4-02-06,仓储物流服务人员,2550,23377,224118,0.1090815759079437,0.011377934837897893,4.158796042534903,3
ZG00000035,ZH04867,2-02-38,数字技术工程技术人员,9111,1058920,145051,0.00860404940883164,0.06281239012485264,0.5068449516093556,23
ZG00000036,ZH04002,2-02-10,信息和通信工程技术人员,5077,6928,728309,0.7328233256351039,0.0069709422786207505,8.597586705617429,1
ZG00000037,ZH02730,2-05-07,医疗卫生技术人员,267,3133,37390,0.08522183210979892,0.007140946777213159,19.475488418543957,3
ZG00000038,ZH02147,4-06-02,房地产中介服务人员,5443,556548,49582,0.00977992913459396,0.10977774192247186,1.6854063410461617,20
ZG00000039,ZH02495,4-04-05,软件和信息技术服务人员,105,3021,749774,0.03475670307845084,0.00014004219938274734,0.3960966361663715,3
ZG00000040,ZH04731,4-08-08,专业化设计服务人员,1707,182378,196680,0.009359681540536688,0.008679072605247102,0.40662476877987974,20
ZG00000041,ZH01497,2-06-07,商务专业人员,265,4817,489726,0.05501349387585634,0.0005411189113912677,0.9598624947327589,6
ZG00000042,ZH03872,4-04-05,软件和信息技术服务人员,6307,19821,749774,0.3181978709449574,0.008411868109590357,3.6262676017375712,2
ZG00000043,ZH03323,4-01-01,购销服务人员,1195,5851,131360,0.20423859169372757,0.009097137637028015,13.28518553831018,2
ZG00000044,ZH01768,2-02-30,管理（工业）工程技术人员,2329,18798,518059,0.12389615916586871,0.004495626945965614,2.0434855781223797,2
ZG00000045,ZH02406,2-06-04,审计专业人员,81,21668,55277,0.0037382314934465573,0.0014653472511171012,0.5778494226614921,26
ZG00000046,ZH04913,4-01-02,销售人员,16,415,1199332,0.03855421686746988,1.3340759689560522e-05,0.27467897691964194,4
ZG00000047,ZH02352,4-13-02,广播、电视、电影和影视录音制作人员,1923,629120,35218,0.003056650559511699,0.054602759952297124,0.7416074090072433,36
ZG00000048,ZH04219,2-06-08,人力资源专业人员,741,44016,320346,0.016834787350054524,0.0023131239347455564,0.44903612976647844,9
ZG00000049,ZH02096,4-01-01,购销服务人员,489,1853,131360,0.2638963842417701,0.0037225943970767357,17.165768714261958,1
ZG00000050,ZH04655,4-01-06,电子商务服务人员,899,25357,135407,0.035453720866033045,0.0066392431705894085,2.2372455944021117,8
ZG00000051,ZH00527,8-00-00,不便分类的其他从业人员,108,10179,322298,0.010610079575596816,0.00033509360902022353,0.2812898019334727,8
ZG00000052,ZH04571,2-06-08,人力资源专业人员,2945,4158,320346,0.7082732082732083,0.009193184868860544,18.89184898193907,1
ZG00000053,ZH01909,6-31-06,安全生产管理人员,848,183325,66158,0.004625664802945588,0.012817799812569908,0.5974268643429993,29
ZG00000054,ZH02967,4-04-05,软件和信息技术服务人员,341,4636,749774,0.07355478861087145,0.00045480371418587465,0.8382499420883875,3
ZG00000055,ZH01782,3-01-02,行政事务处理人员,1972,95513,257156,0.0206464041544083,0.007668496943489555,0.6860262270818369,13
ZG00000056,ZH02946,4-04-05,软件和信息技术服务人员,6086,14680,749774,0.4145776566757493,0.00811711262327048,4.724637284162119,2
ZG00000057,ZH03529,2-02-38,数字技术工程技术人员,4279,5875,145051,0.7283404255319149,0.02949996897642898,42.90487538982987,1
ZG00000058,ZH03695,4-04-05,软件和信息技术服务人员,4578,4638,749774,0.9870633893919794,0.0061058398930877835,11.248837018248233,1
ZG00000059,ZH01132,2-02-10,信息和通信工程技术人员,4241,6561,728309,0.6463953665599756,0.005823077841959937,7.5836016891143245,1
ZG00000060,ZH05021,2-06-03,会计专业人员,4885,5075,305561,0.9625615763546798,0.015986987868216167,26.916807926397773,1
