标准技能名称,技能一级类型,技能簇编号,技能簇名称,原始技能类型,历史技能岗位数,历史与AI共同出现岗位数,近年与AI共同出现岗位数,活跃月份数,AI共现提升度,与AI共现强度_NPMI,历史AI协同占比,指标口径
Python,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,208665,40161,13418,115,18.027159712599772,0.540555149586132,0.1924663935015455,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
沟通能力,非技术型技能,2,组织协调与商业执行,非技术性能力,3672245,39696,12251,114,1.0124824328972584,0.0023137591246132,0.010809736278489,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
团队合作,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,1913442,29573,9130,114,1.447613014055862,0.0654039422000211,0.0154553939967869,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Java,其他技能,3,Java后端开发与中间件,工具软件与技术平台,412065,22897,4771,112,5.20457479473715,0.2790283002566912,0.0555664761627413,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
C++,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,154699,21817,7447,114,13.209303636861897,0.4330376433861118,0.1410287073607457,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
数据分析,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,424552,19433,4942,114,4.287275158278575,0.2395835715582029,0.0457729559629915,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
数据挖掘,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,45578,19302,2671,114,39.66609477274062,0.605094057490534,0.4234937908640133,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Linux,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,323847,16695,4054,113,4.82857457315577,0.2528335723258659,0.0515521218353111,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
学习能力,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,778925,16481,4741,114,1.9818022374006232,0.1096073052567792,0.0211586481368552,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
责任心,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,1688678,13795,4115,114,0.7651511887801566,-0.0417052361927749,0.0081691121694011,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Hadoop,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,58556,12468,1494,112,19.943335231605353,0.4590637117516954,0.2129243800806066,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Spark,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,44287,12456,1723,112,26.343576458227023,0.5016810390882169,0.2812563506220787,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
数据库技术,专业知识,3,Java后端开发与中间件,专业知识与行业经验,446609,12437,3285,113,2.608318139236395,0.1469944555730884,0.027847625103838,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
问题解决,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,418445,11162,3611,114,2.4984808973832617,0.1381076007315004,0.0266749513078182,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
逻辑思维,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,384423,10292,2582,113,2.5076262760494954,0.1369821215114158,0.0267725916503435,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
数据处理,其他技能,19,大数据工程与数据仓库,具体专业技能,78941,9975,2997,111,11.83539287085704,0.3664872978472057,0.1263601930555731,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
SQL,其他技能,3,Java后端开发与中间件,工具软件与技术平台,233186,9295,2591,111,3.7335271972729576,0.1933516288332832,0.0398608835864931,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
MySQL,其他技能,3,Java后端开发与中间件,工具软件与技术平台,252370,7560,1762,110,2.805798416298519,0.1469671023029211,0.0299560169592265,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
抗压能力,非技术型技能,2,组织协调与商业执行,非技术性能力,746198,7467,2494,111,0.9372694652013132,-0.0092124979049855,0.0100067274369537,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
R语言,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,24384,7208,961,114,27.68740326883848,0.469891759905805,0.2956036745406824,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
组织协调,非技术型技能,2,组织协调与商业执行,非技术性能力,1196963,6921,2144,113,0.541577385473791,-0.0862766978848688,0.0057821336164944,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Hive,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,35935,6883,1023,112,17.940416377635156,0.4058459757473879,0.1915402810630304,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
表达能力,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,782782,6841,1886,113,0.8185612051286041,-0.0281197857151978,0.0087393424989332,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
需求分析,其他技能,1,表达沟通与通用办公协作,具体专业技能,242424,6724,2281,111,2.597912322679459,0.1337679788739133,0.0277365277365277,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Caffe,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,6367,6338,1025,112,93.23732026379672,0.630217303581606,0.99544526464583,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
数据建模,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,35361,6332,1161,111,16.772151084850606,0.3917848659281825,0.1790673340686066,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
OpenCV,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,10318,5968,1707,113,54.17584437692572,0.5501737507350661,0.5784066679589067,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
云计算,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,70019,5800,1630,111,7.758620106710439,0.2812410152544333,0.0828346591639412,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
英语,其他技能,4,供应链与物流管理,语言能力,561192,5783,1876,112,0.9651929007574634,-0.0048611748370708,0.0103048511026529,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
MATLAB,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,29178,5744,1231,113,18.438742919618814,0.3995373049336885,0.1968606484337514,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
主动性,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,408887,5427,1523,112,1.2431654066017952,0.0296083169084545,0.0132726156615397,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Shell,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,100992,5339,1094,112,4.951597625115983,0.2171250653457761,0.0528655735107731,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
项目管理,其他技能,1,表达沟通与通用办公协作,方法、标准与流程,401288,5305,1853,111,1.2382308306651624,0.0289776674638763,0.013219931819541,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
分析判断,非技术型技能,2,组织协调与商业执行,非技术性能力,380334,5158,1230,114,1.2702481902098433,0.0323164673908741,0.0135617641336299,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
算法建模,其他技能,15,人工智能与数据挖掘,方法、标准与流程,6003,4965,3026,110,77.46817187713556,0.5846347692866848,0.8270864567716142,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
聚类分析,其他技能,15,人工智能与数据挖掘,具体专业技能,7148,4949,640,112,64.84930229760317,0.5604946429266634,0.6923614997202014,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
操作系统,专业知识,7,网络通信与软件开发基础,专业知识与行业经验,187840,4884,1390,111,2.4353420840495095,0.1193664165645139,0.0260008517887563,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
执行力,非技术型技能,2,组织协调与商业执行,非技术性能力,646754,4862,1400,111,0.7041225110389594,-0.0470164589491992,0.0075175414454336,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
书面表达,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,463033,4785,1529,111,0.967926535544336,-0.0043597738337727,0.010334036666933,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
推荐算法,其他技能,15,人工智能与数据挖掘,方法、标准与流程,6931,4741,589,107,64.0687800326018,0.5556625768768312,0.6840282787476555,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
HBase,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,31567,4703,492,110,13.95449313800542,0.3516967924086692,0.1489846992112015,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
方案设计,其他技能,11,嵌入式与电子硬件开发,方法、标准与流程,177873,4602,1874,109,2.423310044148694,0.1177629565611198,0.0258723920999814,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
知识图谱,其他技能,15,人工智能与数据挖掘,方法、标准与流程,5466,4439,1033,109,76.06553350292576,0.5735465235480395,0.8121112330772046,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Redis,其他技能,3,Java后端开发与中间件,工具软件与技术平台,99369,4355,1013,109,4.104966695974716,0.1865172674838187,0.0438265455021183,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
创新能力,非技术型技能,5,视觉设计与数字内容制作,非技术性能力,204963,4254,1535,112,1.9439917361072736,0.0875253336669363,0.020754965530364,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
数据结构与算法,其他技能,7,网络通信与软件开发基础,方法、标准与流程,27879,4247,1023,108,14.268471991996307,0.3499041333975116,0.1523368843932709,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Scala,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,12413,4150,582,108,31.314374365512194,0.4520011501671624,0.3343269153307017,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Oracle,其他技能,3,Java后端开发与中间件,工具软件与技术平台,231295,3855,821,108,1.5610993245120823,0.0578928313697965,0.0166670269569164,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
卷积神经网络,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,3896,3823,957,108,91.90893797553068,0.5869875688547997,0.9812628336755648,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
数据仓库,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,32403,3740,699,112,10.810823558703992,0.3082156619697613,0.1154214115976915,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
嵌入式,其他技能,11,嵌入式与电子硬件开发,方法、标准与流程,92761,3627,1108,111,3.662305183770615,0.1674024647260909,0.0391004840396287,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
支持向量机,其他技能,15,人工智能与数据挖掘,具体专业技能,3962,3610,532,110,85.34245438209749,0.5730970431445499,0.91115598182736,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Kafka,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,36773,3451,789,109,8.789988269784791,0.2785232351631055,0.0938460283360074,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
语音识别,其他技能,15,人工智能与数据挖掘,方法、标准与流程,4703,3179,588,107,63.31227905736395,0.5259946731756799,0.6759515203061875,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
领导力,非技术型技能,2,组织协调与商业执行,非技术性能力,313834,3166,981,111,0.9448944896209496,-0.007183794921358,0.0100881357660419,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
