学校,专业主键,年级,学院,专业,专业方向_路径,技能编号,标准技能名称,技能展示名称,技能一级类型,技能簇名称,技能供给原始分,证据条数,直接证据条数,语义规则证据条数,证据摘要,映射依据,专业区分度权重,技能供给区分度得分,专业内排名,是否代表性技能
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0024,Office办公软件,Office办公软件（办公套件）,工具软件与技术平台,表达沟通与通用办公协作,0.8,1,0,1,计算机应用  / Computer Application,通用计算机应用课程,2.037651588878423,1.6301212711027384,16,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0025,英语,英语,语言能力,供应链与物流管理,0.8,1,1,0,英语,课程名称直接出现唯一技能别名“英语”,1.0,0.8,23,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0041,Python,Python（编程语言）,工具软件与技术平台,云计算、系统运维与DevOps,2.3,2,2,0,Python；python,毕业要求直接出现“Python”；课程名称直接出现唯一技能别名“python”,1.5108256237659907,3.4748989346617782,5,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0072,统计分析,统计分析,方法、标准与流程,人工智能与数据挖掘,0.8,1,0,1,统计学 / Statistics,统计方法课程,1.1880522315029396,0.9504417852023517,21,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0109,会计核算,会计核算,方法、标准与流程,财务会计与税务管理,0.8,1,0,1,会计学 / Accounting,会计课程,1.2895886507223624,1.03167092057789,19,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0145,数据挖掘,数据挖掘,工具软件与技术平台,人工智能与数据挖掘,0.8,1,1,0,数据挖掘,课程名称直接出现唯一技能别名“数据挖掘”,2.4271163556401456,1.9416930845121165,14,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0172,数据建模,数据建模,工具软件与技术平台,大数据工程与数据仓库,0.8,1,0,1,金融建模 / Financial Modelling,建模课程,2.730798769438368,2.1846390155506947,13,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0335,SPSS,SPSS（办公软件与通用数字工具）,方法、标准与流程,人工智能与数据挖掘,1.5,1,1,0,SPSS,毕业要求直接出现“SPSS”,4.778491612803624,7.1677374192054355,2,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0397,数理统计,数理统计,工具软件与技术平台,人工智能与数据挖掘,0.8,1,1,0,数理统计,课程名称直接出现唯一技能别名“数理统计”,1.2019413436636068,0.9615530749308855,20,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0524,精算,精算,具体专业技能,金融风控、投资与合规,6.0,4,4,0,精算,培养目标直接出现“精算”；毕业要求直接出现“精算”；核心课程直接出现“精算”；培养特色直接出现“精算”,4.218875824868201,25.313254949209206,1,是
