专业代码,专业名称,专业门类,专业类,学历层次,去向类型,数据口径,口径名称,展示顺序,父级去向,去向名称,去向占比,职业页面ID,职业词典ID,是否细分去向,专业页面ID,来源页面,采集日期
120203,会计学,管理学,工商管理类,本科（普通教育）,已毕业人员从业方向,专业,会计学,1,,会计/会计师,20.96,621qz6e6s682xy2z,xrkrip08qxrzum94,否,hdyxw5rt5yg54yow,https://xz.chsi.com.cn/speciality/detail.action?specId=hdyxw5rt5yg54yow,2026-09-03
120203,会计学,管理学,工商管理类,本科（普通教育）,已毕业人员从业方向,专业,会计学,2,,财务助理,12.89,621qz6e6s682xy2z,xrkrip08qxrzum94,否,hdyxw5rt5yg54yow,https://xz.chsi.com.cn/speciality/detail.action?specId=hdyxw5rt5yg54yow,2026-09-03
120203,会计学,管理学,工商管理类,本科（普通教育）,已毕业人员从业方向,专业,会计学,3,,出纳员,7.34,621qz6e6s682xy2z,xrkrip08qxrzum94,否,hdyxw5rt5yg54yow,https://xz.chsi.com.cn/speciality/detail.action?specId=hdyxw5rt5yg54yow,2026-09-03
120203,会计学,管理学,工商管理类,本科（普通教育）,已毕业人员从业方向,专业,会计学,4,,审计专员/助理,7.23,7i088grumb4sfpo0,kth4daln6keximr4,否,hdyxw5rt5yg54yow,https://xz.chsi.com.cn/speciality/detail.action?specId=hdyxw5rt5yg54yow,2026-09-03
120203,会计学,管理学,工商管理类,本科（普通教育）,已毕业人员从业方向,专业,会计学,5,,会计助理/文员,3.98,621qz6e6s682xy2z,xrkrip08qxrzum94,否,hdyxw5rt5yg54yow,https://xz.chsi.com.cn/speciality/detail.action?specId=hdyxw5rt5yg54yow,2026-09-03
120203,会计学,管理学,工商管理类,本科（普通教育）,已毕业人员从业方向,专业,会计学,6,,银行会计/柜员,2.20,lb4ql88xjx2n334x,ofoenbwwv9w8s3wb,否,hdyxw5rt5yg54yow,https://xz.chsi.com.cn/speciality/detail.action?specId=hdyxw5rt5yg54yow,2026-09-03
120203,会计学,管理学,工商管理类,本科（普通教育）,已毕业人员从业方向,专业,会计学,7,,成本会计,2.20,621qz6e6s682xy2z,xrkrip08qxrzum94,否,hdyxw5rt5yg54yow,https://xz.chsi.com.cn/speciality/detail.action?specId=hdyxw5rt5yg54yow,2026-09-03
120203,会计学,管理学,工商管理类,本科（普通教育）,已毕业人员从业方向,专业,会计学,8,,销售代表,1.99,rw6z9nza7gduikyw,ez7pdsrphwf9h9r5,否,hdyxw5rt5yg54yow,https://xz.chsi.com.cn/speciality/detail.action?specId=hdyxw5rt5yg54yow,2026-09-03
120203,会计学,管理学,工商管理类,本科（普通教育）,已毕业人员从业方向,专业,会计学,9,,公务员,1.89,,,否,hdyxw5rt5yg54yow,https://xz.chsi.com.cn/speciality/detail.action?specId=hdyxw5rt5yg54yow,2026-09-03
120203,会计学,管理学,工商管理类,本科（普通教育）,已毕业人员从业方向,专业,会计学,9,公务员,公务员,,26ira4d9cp1gn55c,czzv3g8llzj10hlz,是,hdyxw5rt5yg54yow,https://xz.chsi.com.cn/speciality/detail.action?specId=hdyxw5rt5yg54yow,2026-09-03
