专业代码,专业名称,专业类,已毕业去向数,期望去向数,已毕业数据口径,口径名称,采集状态,错误信息,专业页面ID
120203,会计学,工商管理类,17,8,专业,会计学,成功,,hdyxw5rt5yg54yow
050201,英语,外国语言文学类,17,8,专业,英语,成功,,17jj7pgv6zlerl1h
081001,土木工程,土木类,18,8,专业,土木工程,成功,,obqqf4z0102mkb1q
080901,计算机科学与技术,计算机类,18,8,专业,计算机科学与技术,成功,,woqt114tyt2flxjh
030101,法学,法学类,11,7,专业,法学,成功,,e38wliz5hwewp9s3
050101,汉语言文学,中国语言文学类,10,9,专业,汉语言文学,成功,,hv7u0c1q96bimo7x
080202,机械设计制造及其自动化,机械类,18,8,专业,机械设计制造及其自动化,成功,,ll9xvaqloupm53on
020401,国际经济与贸易,经济与贸易类,15,8,专业,国际经济与贸易,成功,,n8txd5lfx5w9fyxh
080601,电气工程及其自动化,电气类,15,8,专业,电气工程及其自动化,成功,,oycmnanbvzt1jgjd
120204,财务管理,工商管理类,17,8,专业,财务管理,成功,,qhns7a1ug663q7mc
100201,临床医学,临床医学类,12,8,专业类,临床医学类,成功,,ze5prc7531dbpqwx
120201,工商管理,工商管理类,16,8,专业,工商管理,成功,,sb4t562ct3mvkthy
020301,金融学,金融学类,17,8,专业,金融学,成功,,prrl4h12puriaw46
080701,电子信息工程,电子信息类,9,8,专业,电子信息工程,成功,,x34jt0lncniica56
080902,软件工程,计算机类,15,8,专业,软件工程,成功,,ikr0e389k541pjkp
101101,护理学,护理学类,5,0,专业,护理学,成功,,g002omujmd5rxg8y
120202,市场营销,工商管理类,17,8,专业,市场营销,成功,,6jznnku3ino08o78
080703,通信工程,电子信息类,18,8,专业类,电子信息类,成功,,x2ccr82b8wksg4dz
080801,自动化,自动化类,9,8,专业,自动化,成功,,1fmwa6rijyc73jle
070101,数学与应用数学,数学类,11,8,专业类,数学类,成功,,1zm5hrvxosmo4lk6
120103,工程管理,管理科学与工程类,15,8,专业,工程管理,成功,,fra28iyfbzp41rs5
120901,旅游管理,旅游管理类,10,8,专业,旅游管理,成功,,opti829pyyh6w4w7
120206,人力资源管理,工商管理类,10,8,专业,人力资源管理,成功,,xy3f5hnypstcb14f
120102,信息管理与信息系统,管理科学与工程类,17,8,专业类,管理科学与工程类,成功,,uyxg8tfjtfbybwth
020101,经济学,经济学类,11,5,专业类,经济学类,成功,,jnnfj96vf439ww0i
040201,体育教育,体育学类,12,8,专业类,体育学类,成功,,r7eshzdw7a5i54zt
120402,行政管理,公共管理类,11,8,专业类,公共管理类,成功,,fb6owxbhatf0lyfc
081301,化学工程与工艺,化工与制药类,8,8,专业类,化工与制药类,成功,,1mxxophbzl2t9m7n
120601,物流管理,物流管理与工程类,8,8,专业类,物流管理与工程类,成功,,96ed9qc0emgapnpr
130202,音乐学,音乐与舞蹈学类,13,8,专业类,音乐与舞蹈学类,成功,,v2b9uge3zvjgrcce
070302,应用化学,化学类,9,8,专业类,化学类,成功,,e0t40wzun7fc220n
050207,日语,外国语言文学类,16,8,专业类,外国语言文学类,成功,,gvraa43rj06vrs52
120801,电子商务,电子商务类,8,8,专业,电子商务,成功,,si8nwxrt2cg0b9dw
130401,美术学,美术学类,10,8,专业类,美术学类,成功,,hyfwrko5euqz2e8s
070301,化学,化学类,9,8,专业类,化学类,成功,,ylo6z08o3bf302gj
040106,学前教育,教育学类,14,8,专业类,教育学类,成功,,yvtikxqdb27ao1u9
100701,药学,药学类,8,8,专业,药学,成功,,n4zqee0bpp2vsszp
070102,信息与计算科学,数学类,11,8,专业类,数学类,成功,,xeanxoprc60luqom
082502,环境工程,环境科学与工程类,10,8,专业类,环境科学与工程类,成功,,hecglqjjw4g410xo
071001,生物科学,生物科学类,8,8,专业,生物科学,成功,,v70hzr7sj7njdbgk
080903,网络工程,计算机类,18,8,专业类,计算机类,成功,,zzy68623rx09xfoe
071002,生物技术,生物科学类,8,8,专业,生物技术,成功,,8qy4pscwgidglcwx
082701,食品科学与工程,食品科学与工程类,9,8,专业类,食品科学与工程类,成功,,evses7suloya06af
050301,新闻学,新闻传播学类,17,8,专业类,新闻传播学类,成功,,ipfawg5cg4jwxpzj
070201,物理学,物理学类,8,8,专业,物理学,成功,,crgrafa7or6m82qq
130310,动画,戏剧与影视学类,8,8,专业,动画,成功,,n4e054b8witskb6c
080714,电子信息科学与技术,电子信息类,18,8,专业类,电子信息类,成功,,j2ufnf0pz9v2pm8m
120401,公共事业管理,公共管理类,11,8,专业类,公共管理类,成功,,z0to9cxv7qoaf5eh
082801,建筑学,建筑类,10,8,专业类,建筑类,成功,,zakebvfjycqsdymq
080301,测控技术与仪器,仪器类,8,8,专业,测控技术与仪器,成功,,evuz2zoxfxw0jz86
050303,广告学,新闻传播学类,17,8,专业类,新闻传播学类,成功,,xhqlwady8uflwx7v
080203,材料成型及控制工程,机械类,18,8,专业类,机械类,成功,,1s2thz0faglocobs
130305,广播电视编导,戏剧与影视学类,18,8,专业类,戏剧与影视学类,成功,,ge9p5khidlvhcgrp
060101,历史学,历史学类,8,8,专业,历史学,成功,,5d5wy73t77w9ja6k
080207,车辆工程,机械类,18,8,专业类,机械类,成功,,gn7f0pkk2uzckstt
100501,中医学,中医学类,5,8,专业,中医学,成功,,egkt2n7ijcyyrlvy
030503,思想政治教育,马克思主义理论类,8,7,专业,思想政治教育,成功,,pao1qr5qb6u4i2s8
083001,生物工程,生物工程类,8,8,专业,生物工程,成功,,74tcej33ev68k57t
040107,小学教育,教育学类,14,8,专业类,教育学类,成功,,jzqcv654g3gbm0t8
081302,制药工程,化工与制药类,8,8,专业类,化工与制药类,成功,,0ujhhaaccio7wugw
071102,应用心理学,心理学类,8,8,专业,应用心理学,成功,,ah39nvgo2ckoxz38
080401,材料科学与工程,材料类,16,8,专业类,材料类,成功,,quignsrito5bbw3h
130503,环境设计,设计学类,17,8,专业,环境设计,成功,,6tmyzlakyqj03qie
080205,工业设计,机械类,18,8,专业类,机械类,成功,,36xqnecw7c9sfhla
090502,园林,林学类,8,8,专业,园林,成功,,8qr0kt5jjijlobx1
030302,社会工作,社会学类,8,8,专业,社会工作,成功,,a8pogbvbme0q4ovt
130309,播音与主持艺术,戏剧与影视学类,18,8,专业类,戏剧与影视学类,成功,,2kyc692np67r47mb
080702,电子科学与技术,电子信息类,18,8,专业类,电子信息类,成功,,u2e7w0rko4x02g7z
130201,音乐表演,音乐与舞蹈学类,13,8,专业类,音乐与舞蹈学类,成功,,2ez8smra5flntlpo
070501,地理科学,地理科学类,4,8,专业,地理科学,成功,,igixj65hl5o110le
101001,医学检验技术,医学技术类,2,8,专业,医学检验技术,成功,,qqv1f2u1gd65c5sk
050103,汉语国际教育,中国语言文学类,12,8,专业类,中国语言文学类,成功,,7k3exlo9rax6pg0v
080407,高分子材料与工程,材料类,16,8,专业类,材料类,成功,,qnpy9dzz10a7vmvv
120105,工程造价,管理科学与工程类,10,8,专业,工程造价,成功,,fctl544fkebpbktu
081801,交通运输,交通运输类,9,8,专业类,交通运输类,成功,,0onz5441tn74ri6f
071201,统计学,统计学类,8,8,专业,统计学,成功,,pzpjqosgnxb1g5uv
130502,视觉传达设计,设计学类,16,8,专业,视觉传达设计,成功,,xlu1uoty61latpdu
082901,安全工程,安全科学与工程类,8,8,专业,安全工程,成功,,d450gex7zsvuoehk
040202,运动训练,体育学类,12,8,专业类,体育学类,成功,,pa1a4trene9ikqos
120701,工业工程,工业工程类,8,8,专业,工业工程,成功,,sbd1xccs76qkhv5l
080204,机械电子工程,机械类,18,8,专业类,机械类,成功,,o0hsfs2p76uvvtv5
081201,测绘工程,测绘类,8,8,专业,测绘工程,成功,,pcrxwnrlxcdo1bfn
050302,广播电视学,新闻传播学类,17,8,专业类,新闻传播学类,成功,,z9lpcp7iav57fr8z
082503,环境科学,环境科学与工程类,10,8,专业类,环境科学与工程类,成功,,by5fsv8dv6qnyry3
100801,中药学,中药学类,8,8,专业,中药学,成功,,b8g079x3s9t0cq7n
081101,水利水电工程,水利类,8,8,专业,水利水电工程,成功,,7fuwfgurkj9yoo87
082702,食品质量与安全,食品科学与工程类,9,8,专业类,食品科学与工程类,成功,,41qntqxt0ql97rsa
100401,预防医学,公共卫生与预防医学类,4,8,专业,预防医学,成功,,b2fvnplbhk7inks6
082802,城乡规划,建筑类,10,8,专业类,建筑类,成功,,2ik4zzpe89vlcx05
090401,动物医学,动物医学类,7,7,专业,动物医学,成功,,qaxkd9muof7942lh
080206,过程装备与控制工程,机械类,18,8,专业类,机械类,成功,,zv6sq8pjtcrnw0al
100203,医学影像学,临床医学类,12,8,专业类,临床医学类,成功,,9v004qaggzpf9pyx
100301,口腔医学,口腔医学类,3,8,专业,口腔医学,成功,,u92xv5jwan6q4bch
070202,应用物理学,物理学类,8,8,专业,应用物理学,成功,,tniv2gv3c38tefpa
081501,采矿工程,矿业类,7,8,专业,采矿工程,成功,,rapthg2s1oxnuxp9
090102,园艺,植物生产类,8,8,专业,园艺,成功,,9hft61k7558cltd9
070504,地理信息科学,地理科学类,6,8,专业,地理信息科学,成功,,4go0zlwzbogimxp5
020201,财政学,财政学类,8,8,专业,财政学,成功,,fp84yy9icmc5tt9p
040203,社会体育指导与管理,体育学类,12,8,专业类,体育学类,成功,,o32xup05k1eo60qh
040104,教育技术学,教育学类,14,8,专业类,教育学类,成功,,v8e3ea4jsh20j3fy
080403,材料化学,材料类,16,8,专业类,材料类,成功,,afhfly1ntend3gnh
080905,物联网工程,计算机类,18,8,专业类,计算机类,成功,,sywqmrk7do5p0r8l
090301,动物科学,动物生产类,8,8,专业,动物科学,成功,,v9t700eqipnzfe57
081802,交通工程,交通运输类,9,8,专业类,交通运输类,成功,,9803y9ywm5bw1sq4
130402,绘画,美术学类,10,8,专业类,美术学类,成功,,0vevfj0mokvsdxdl
100601,中西医临床医学,中西医结合类,5,8,专业,中西医临床医学,成功,,iqza60a0yaef83mc
120207,审计学,工商管理类,17,8,专业类,工商管理类,成功,,ri7kgdx625262l7o
120404,土地资源管理,公共管理类,11,8,专业类,公共管理类,成功,,pvqsinumiyf19cso
080906,数字媒体技术,计算机类,18,8,专业类,计算机类,成功,,hpx2zt4nzpmduvr4
090101,农学,植物生产类,7,7,专业,农学,成功,,xwiig7brw093t6bd
120403,劳动与社会保障,公共管理类,11,8,专业类,公共管理类,成功,,lcruu09hn9pbjoq3
080208,汽车服务工程,机械类,18,8,专业类,机械类,成功,,2a34rp32oiue34b8
050262,商务英语,外国语言文学类,16,8,专业类,外国语言文学类,成功,,bvx5dofnbr6sehwz
100502,针灸推拿学,中医学类,4,8,专业,针灸推拿学,成功,,a1ikiu7xgee7siyh
130508,数字媒体艺术,设计学类,8,8,专业,数字媒体艺术,成功,,ibqapc722l9sgpg8
081403,资源勘查工程,地质类,7,8,专业,资源勘查工程,成功,,litj4yzrz6dvvn7m
080406,无机非金属材料工程,材料类,16,8,专业类,材料类,成功,,1kt33556zsbhu6vw
120301,农林经济管理,农业经济管理类,8,8,专业,农林经济管理,成功,,hbwbis8rvefhwcfo
050202,俄语,外国语言文学类,16,8,专业类,外国语言文学类,成功,,veuz1e6r7osl70yr
082601,生物医学工程,生物医学工程类,8,8,专业,生物医学工程,成功,,wv0gy6g8z9knaxee
081602,服装设计与工程,纺织类,8,8,专业,服装设计与工程,成功,,um5hlqlx73bkohqk
040101,教育学,教育学类,14,6,专业类,教育学类,成功,,qzas0fixn53wponn
020302,金融工程,金融学类,17,8,专业类,金融学类,成功,,248mpm7te1qerdwi
080706,信息工程,电子信息类,18,8,专业类,电子信息类,成功,,pxvg9l49zbdbwviy
071101,心理学,心理学类,7,7,专业,心理学,成功,,h6a7afcpw2jph468
080405,金属材料工程,材料类,16,8,专业类,材料类,成功,,7x2ti69or43m5cqu
030602,侦查学,公安学类,2,7,专业,侦查学,成功,,neetklsg81jkd9kt
100702,药物制剂,药学类,8,8,专业,药物制剂,成功,,gvakz9wyfz0z786x
080404,冶金工程,材料类,16,8,专业类,材料类,成功,,lw34eft756gukpg0
080501,能源与动力工程,能源动力类,5,8,专业,能源与动力工程,成功,,04u114zzdb4ln8uw
080904,信息安全,计算机类,18,8,专业类,计算机类,成功,,ia9qzm5cnaku1mzg
090103,植物保护,植物生产类,8,8,专业,植物保护,成功,,8b7biq3waug02swv
130205,舞蹈学,音乐与舞蹈学类,13,8,专业类,音乐与舞蹈学类,成功,,7tinh6ibc4c2bsyr
100202,麻醉学,临床医学类,12,8,专业类,临床医学类,成功,,2ax63rige8qpq9ns
050209,朝鲜语,外国语言文学类,16,8,专业类,外国语言文学类,成功,,7os4uio9hepik7sy
020303,保险学,金融学类,17,8,专业类,金融学类,成功,,tdrdu5hjyqb5oub6
130504,产品设计,设计学类,18,8,专业类,设计学类,成功,,16741lyl4yyu1uzw
120602,物流工程,物流管理与工程类,8,8,专业类,物流管理与工程类,成功,,q4uoipf4jfa0fs1x
030201,政治学与行政学,政治学类,8,7,专业,政治学与行政学,成功,,ayddfecf3yocinq6
080102,工程力学,力学类,8,8,专业,工程力学,成功,,08tefm6eldrx6tb7
120210,文化产业管理,工商管理类,17,8,专业类,工商管理类,成功,,evuh587pdlonpmz2
081502,石油工程,矿业类,6,8,专业,石油工程,成功,,0zjm2cv6le1ji88c
050204,法语,外国语言文学类,16,8,专业类,外国语言文学类,成功,,l29dk98jzt6tqwdo
130304,戏剧影视文学,戏剧与影视学类,18,8,专业类,戏剧与影视学类,成功,,stlm3yw9r32hzc69
130301,表演,戏剧与影视学类,18,8,专业类,戏剧与影视学类,成功,,dfj1ag8ldq7m8yc5
080201,机械工程,机械类,18,8,专业类,机械类,成功,,iirnhgajubu8juwf
030301,社会学,社会学类,8,7,专业,社会学,成功,,34pc94mu7lkhw0zt
081401,地质工程,地质类,6,8,专业,地质工程,成功,,693oujnog3p9xw87
081006,道路桥梁与渡河工程,土木类,18,8,专业类,土木类,成功,,oa9rxsemufd4dz79
050203,德语,外国语言文学类,16,8,专业类,外国语言文学类,成功,,8nx9ygnqf9zzqpjl
081402,勘查技术与工程,地质类,8,8,专业,勘查技术与工程,成功,,g1fk9u88w5oxp87g
081804,轮机工程,交通运输类,9,8,专业类,交通运输类,成功,,4r8x7le9xf2kkde1
090501,林学,林学类,8,8,专业,林学,成功,,4ghxwuxoa5uy493t
081901,船舶与海洋工程,海洋工程类,8,8,专业,船舶与海洋工程,成功,,ofhevuyls8b913m2
090601,水产养殖学,水产类,8,8,专业,水产养殖学,成功,,1ad875c168j1qiko
101005,康复治疗学,医学技术类,2,8,专业,康复治疗学,成功,,bkfvwj27f3omugb9
080705,光电信息科学与工程,电子信息类,18,8,专业类,电子信息类,成功,,2zntbgw7sgcqy156
120205,国际商务,工商管理类,17,8,专业类,工商管理类,成功,,fl8y9l8v119q89vn
081803,航海技术,交通运输类,9,8,专业类,交通运输类,成功,,6wj6e4a3ph2hh58y
090201,农业资源与环境,自然保护与环境生态类,7,8,专业,农业资源与环境,成功,,fncy495v8a1t326w
081003,给排水科学与工程,土木类,18,8,专业类,土木类,成功,,vvlav54hf40qhdpb
081504,油气储运工程,矿业类,7,8,专业,油气储运工程,成功,,xx10gvk0g28dglw4
020304,投资学,金融学类,17,8,专业类,金融学类,成功,,4zg16aizbvqho676
081601,纺织工程,纺织类,8,8,专业,纺织工程,成功,,x1571ugjl8bnyxz6
120903,会展经济与管理,旅游管理类,16,8,专业类,旅游管理类,成功,,uiemmmu0hunjo765
050261,翻译,外国语言文学类,16,8,专业类,外国语言文学类,成功,,3snag6ch3u4f132t
082302,农业机械化及其自动化,农业工程类,8,8,专业,农业机械化及其自动化,成功,,97s7gr1wok84rzcj
030601,治安学,公安学类,2,7,专业,治安学,成功,,iwxgd3jfmgqrxsm1
081701,轻化工程,轻工类,8,8,专业,轻化工程,成功,,y1tmo6wj73ith8uc
130404,摄影,美术学类,10,8,专业类,美术学类,成功,,v00qzvgevdt74nzb
080402,材料物理,材料类,16,8,专业类,材料类,成功,,cp7synkq77z2kder
120902,酒店管理,旅游管理类,16,8,专业类,旅游管理类,成功,,fcy2720m39jm9zvz
010101,哲学,哲学类,8,7,专业,哲学,成功,,hota9lc5d66i41zx
082803,风景园林,建筑类,10,8,专业类,建筑类,成功,,syn8s2zx2mc4caw7
081503,矿物加工工程,矿业类,8,8,专业,矿物加工工程,成功,,uez5i4donvx912c9
081702,包装工程,轻工类,8,8,专业,包装工程,成功,,xzu5ocv0hdltn3eg
130505,服装与服饰设计,设计学类,18,8,专业类,设计学类,成功,,kr7gw0pyk2szyvh3
050305,编辑出版学,新闻传播学类,17,8,专业类,新闻传播学类,成功,,s0tb3bsy2amd734e
082201,核工程与核技术,核工程类,8,8,专业,核工程与核技术,成功,,qo9azch2k6gkb374
